2025-11-06 13:55:45,952 - INFO - cache_registration_check: CACHE HIT (hit=6, miss=2, hit%=75.0)
2025-11-06 14:25:07,498 - INFO - cache_registration_check: CACHE MISS (hit=6, miss=3, hit%=66.67)
2025-11-06 14:25:37,140 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=3, hit%=0.0)
2025-11-06 14:28:59,483 - INFO - cache_company_by_chat: CACHE HIT (hit=8, miss=0, hit%=100.0)
2025-11-06 14:28:59,487 - INFO - cache_new_user_without_info: CACHE HIT (hit=8, miss=0, hit%=100.0)
2025-11-06 14:29:18,557 - INFO - cache_registration_check: CACHE HIT (hit=7, miss=3, hit%=70.0)
2025-11-06 14:34:33,138 - INFO - cache_company_by_chat: CACHE HIT (hit=9, miss=0, hit%=100.0)
2025-11-06 14:34:33,142 - INFO - cache_new_user_without_info: CACHE HIT (hit=9, miss=0, hit%=100.0)
2025-11-06 14:34:46,430 - INFO - cache_registration_check: CACHE HIT (hit=8, miss=3, hit%=72.73)
2025-11-06 14:36:36,031 - INFO - cache_company_periods_get: CACHE MISS (hit=12, miss=4, hit%=75.0)
2025-11-06 14:36:48,657 - INFO - cache_company_periods_get: CACHE MISS (hit=12, miss=5, hit%=70.59)
2025-11-06 14:37:04,325 - INFO - cache_company_periods_get: CACHE MISS (hit=12, miss=6, hit%=66.67)
2025-11-06 14:53:00,866 - INFO - cache_company_periods_get: CACHE HIT (hit=13, miss=6, hit%=68.42)
2025-11-06 14:53:03,103 - INFO - cache_company_periods_get: CACHE HIT (hit=14, miss=6, hit%=70.0)
2025-11-06 15:05:00,476 - INFO - cache_company_by_chat: CACHE HIT (hit=10, miss=0, hit%=100.0)
2025-11-06 15:05:00,532 - INFO - cache_new_user_without_info: CACHE HIT (hit=10, miss=0, hit%=100.0)
2025-11-06 15:05:14,731 - INFO - cache_registration_check: CACHE HIT (hit=9, miss=3, hit%=75.0)
2025-11-06 15:08:42,791 - INFO - cache_company_by_chat: CACHE HIT (hit=11, miss=0, hit%=100.0)
2025-11-06 15:08:42,796 - INFO - cache_new_user_without_info: CACHE HIT (hit=11, miss=0, hit%=100.0)
2025-11-06 15:10:22,207 - INFO - cache_company_by_chat: CACHE HIT (hit=12, miss=0, hit%=100.0)
2025-11-06 19:13:59,111 - INFO - cache_company_periods_get: CACHE MISS (hit=14, miss=7, hit%=66.67)
2025-11-06 20:59:17,668 - INFO - cache_company_periods_get: CACHE HIT (hit=15, miss=7, hit%=68.18)
2025-11-06 21:03:05,858 - INFO - cache_company_periods_get: CACHE HIT (hit=16, miss=7, hit%=69.57)
2025-11-06 21:03:28,646 - INFO - cache_company_periods_get: CACHE HIT (hit=17, miss=7, hit%=70.83)
2025-11-06 21:03:51,259 - INFO - cache_company_periods_get: CACHE HIT (hit=18, miss=7, hit%=72.0)
2025-11-06 21:05:26,094 - INFO - cache_company_periods_get: CACHE MISS (hit=18, miss=8, hit%=69.23)
2025-11-07 04:02:33,167 - INFO - cache_meetings_without_summary: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-07 04:03:41,447 - INFO - get_meeting_time_by_id_query: CACHE HIT (hit=1, miss=0, hit%=100.0)
2025-11-07 04:03:41,860 - INFO - cache_meeting_summary_uploaded: CACHE HIT (hit=1, miss=0, hit%=100.0)
